id,title,director,actors,genre,description,year
1,The Birth of a Nation,D.W. Griffith,"Henry B. Walthall, Lillian Gish, Mae Marsh, Miriam Cooper, Mary Alden, Ralph Lewis, George Siegmann, Walter Long, Robert Harron, Wallace Reid, Joseph Henabery, Elmer Clifton, Josephine Crowell, Spottiswoode Aitken, George Beranger","Drama, History, War","The Stoneman family finds its friendship with the Camerons affected by the Civil War, both fighting in opposite armies. The development of the war in their lives plays through to Lincoln's assassination and the birth of the Ku Klux Klan.",1915
2,Intolerance: Love's Struggle Throughout the Ages,D.W. Griffith,"Lillian Gish, Mae Marsh, Robert Harron, F.A. Turner, Sam De Grasse, Vera Lewis, Mary Alden, Eleanor Washington, Pearl Elmore, Lucille Browne, Julia Mackley, Miriam Cooper, Walter Long, Tom Wilson, Ralph Lewis","Drama, History","The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.",1916
3,Das Cabinet des Dr. Caligari,Robert Wiene,"Werner Krauss, Conrad Veidt, Friedrich Feher, Lil Dagover, Hans Heinrich von Twardowski, Rudolf Lettinger","Fantasy, Horror, Mystery","Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",1920
4,The Kid,Charles Chaplin,"Carl Miller, Edna Purviance, Jackie Coogan, Charles Chaplin","Comedy, Drama, Family","The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",1921
5,Nosferatu,F.W. Murnau,"Max Schreck, Gustav von Wangenheim, Greta Schröder, Georg H. Schnell, Ruth Landshoff, Gustav Botz, Alexander Granach, John Gottowt, Max Nemetz, Wolfgang Heinz, Albert Venohr, Eric van Viele","Fantasy, Horror",Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,1922
6,Safety Last!,"Fred C. Newmeyer, Sam Taylor","Harold Lloyd, Mildred Davis, Bill Strother, Noah Young, Westcott Clarke","Action, Comedy, Thriller",A boy leaves his small country town and heads to the big city to get a job. As soon as he makes it big his sweetheart will join him and marry him. His enthusiasm to get ahead leads to some interesting adventures.,1923
7,Der letzte Mann,F.W. Murnau,"Emil Jannings, Maly Delschaft, Max Hiller, Emilie Kurz, Hans Unterkircher, Olaf Storm, Hermann Vallentin, Georg John, Emmy Wyda",Drama,"An aging doorman, after being fired from his prestigious job at a luxurious Hotel is forced to face the scorn of his friends, neighbours and society.",1924
8,Sherlock Jr.,Buster Keaton,"Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly, Ward Crane","Action, Comedy, Romance","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",1924
9,Bronenosets Potemkin,Sergei M. Eisenstein,"Aleksandr Antonov, Vladimir Barskiy, Grigoriy Aleksandrov, Ivan Bobrov, Mikhail Gomorov, Aleksandr Levshin, N. Poltavtseva, Konstantin Feldman, Prokhorenko, A. Glauberman, Beatrice Vitoldi, Daniil Antonovich, Iona Biy-Brodskiy, Julia Eisenstein, Sergei M. Eisenstein","Drama, History, Thriller","In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.",1925
10,The Gold Rush,Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman, Malcolm Waite, Georgia Hale","Adventure, Comedy, Drama",A prospector goes to the Klondike in search of gold and finds it and more.,1925
11,The Phantom of the Opera,"Rupert Julian, Lon Chaney","Lon Chaney, Mary Philbin, Norman Kerry, Arthur Edmund Carewe, Gibson Gowland, John St. Polis, Snitz Edwards, Mary Fabian, Virginia Pearson",Horror,"A mad, disfigured composer seeks love with a lovely young opera singer.",1925
12,Faust: Eine deutsche Volkssage,F.W. Murnau,"Gösta Ekman, Emil Jannings, Camilla Horn, Frida Richard, William Dieterle, Yvette Guilbert, Eric Barclay, Hanna Ralph, Werner Fuetterer","Drama, Fantasy, Horror",The demon Mephisto wagers with God that he can corrupt a mortal man's soul.,1926
13,Metropolis,Fritz Lang,"Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp, Theodor Loos, Erwin Biswanger, Heinrich George, Brigitte Helm","Drama, Sci-Fi","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",1927
14,The General,"Clyde Bruckman, Buster Keaton","Marion Mack, Glen Cavender, Jim Farley, Frederick Vroom, Charles Henry Smith, Frank Barnes, Joe Keaton, Mike Donlin, Tom Nawn, Buster Keaton","Action, Adventure, Comedy","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",1926
15,The Jazz Singer,Alan Crosland,"Al Jolson, May McAvoy, Warner Oland, Eugenie Besserer, Otto Lederer, Robert Gordon, Richard Tucker, Yossele Rosenblatt","Drama, Music, Musical",The son of a Jewish Cantor must defy the traditions of his religious father in order to pursue his dream of becoming a jazz singer.,1927
16,Sunrise: A Song of Two Humans,F.W. Murnau,"George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing, J. Farrell MacDonald, Ralph Sipperly, Jane Winton, Arthur Housman, Eddie Boland","Drama, Romance",An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,1927
17,Wings,"William A. Wellman, Harry d'Abbadie d'Arrast","Clara Bow, Charles 'Buddy' Rogers, Richard Arlen, Jobyna Ralston, El Brendel, Richard Tucker, Gary Cooper, Gunboat Smith, Henry B. Walthall, Roscoe Karns, Julia Swayne Gordon, Arlette Marchal, Rod Rogers","Drama, Romance, War","Two young men, one rich, one middle class, who are in love with the same woman, become fighter pilots in World War I.",1927
18,The Circus,Charles Chaplin,"Al Ernest Garcia, Merna Kennedy, Harry Crocker, George Davis, Henry Bergman, Tiny Sandford, John Rand, Steve Murphy, Charles Chaplin","Comedy, Romance",The Tramp finds work and the girl of his dreams at a circus.,1928
19,La passion de Jeanne d'Arc,Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz, Antonin Artaud, Michel Simon, Jean d'Yd, Louis Ravet, Armand Lurville, Jacques Arnna, Alexandre Mihalesco, Léon Larive","Biography, Drama, History","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",1928
20,"Steamboat Bill, Jr.","Charles Reisner, Buster Keaton","Buster Keaton, Tom McGuire, Ernest Torrence, Tom Lewis, Marion Byron","Action, Comedy, Drama",The effete son of a cantankerous riverboat captain comes to join his father's crew.,1928
21,All Quiet on the Western Front,Lewis Milestone,"Louis Wolheim, Lew Ayres, John Wray, Arnold Lucy, Ben Alexander, Scott Kolk, Owen Davis Jr., Walter Rogers, William Bakewell, Russell Gleason, Richard Alexander, Harold Goodwin, Slim Summerville, G. Pat Collins, Beryl Mercer","Drama, War",A young soldier faces profound disillusionment in the soul-destroying horror of World War I.,1930
22,Animal Crackers,Victor Heerman,"The Marx Brothers, Groucho Marx, Harpo Marx, Chico Marx, Zeppo Marx, Lillian Roth, Margaret Dumont, Louis Sorin, Hal Thompson, Margaret Irving, Kathryn Reece, Robert Greig, Edward Metcalfe, The Music Masters","Comedy, Musical",Mayhem and zaniness ensue when a valuable painting goes missing during a party in honor of famed African explorer Captain Spaulding.,1930
23,Der blaue Engel,Josef von Sternberg,"Emil Jannings, Marlene Dietrich, Kurt Gerron, Rosa Valetti, Hans Albers, Reinhold Bernt, Károly Huszár, Die Weintraub Syncopators, Eduard von Winterstein, Hans Roth, Rolf Müller, Roland Varno, Carl Balhaus, Robert Klein-Lörk, Wilhelm Diegelmann","Drama, Music",An elderly professor's ordered life spins dangerously out of control when he falls for a nightclub singer.,1930
24,Little Caesar,Mervyn LeRoy,"Edward G. Robinson, Douglas Fairbanks Jr., Glenda Farrell, William Collier Jr., Sidney Blackmer, Ralph Ince, Thomas E. Jackson, Stanley Fields, Maurice Black, George E. Stone, Armand Kaliz, Nicholas Bela","Action, Crime, Drama",A small-time criminal moves to a big city to seek bigger fortune.,1931
25,L'âge d'or,Luis Buñuel,"Gaston Modot, Lya Lys, Caridad de Laberdesque, Max Ernst, Artigas, Lionel Salem, Germaine Noizet, Duchange, Bonaventura Ibáñez","Comedy, Drama","A surrealist tale of a man and a woman who are passionately in love with each other, but their attempts to consummate that passion are constantly thwarted by their families, the Church, and bourgeois society.",1930
26,City Lights,Charles Chaplin,"Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia, Hank Mann, Charles Chaplin","Comedy, Drama, Romance","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",1931
27,Dracula,"Tod Browning, Karl Freund","Bela Lugosi, Helen Chandler, David Manners, Dwight Frye, Edward Van Sloan, Herbert Bunston, Frances Dade, Joan Standing, Charles K. Gerrard","Fantasy, Horror",The ancient vampire Count Dracula arrives in England and begins to prey upon the virtuous young Mina.,1931
28,Frankenstein,James Whale,"Colin Clive, Mae Clarke, John Boles, Boris Karloff, Edward Van Sloan, Frederick Kerr, Dwight Frye, Lionel Belmore, Marilyn Harris","Drama, Horror, Sci-Fi",An obsessed scientist assembles a living being from parts of exhumed corpses.,1931
